Scaler,Modelo,R²,RMSE,MAE,MSE,Duração
StandardScaler(),SVR                    ,0.7178418712220744,6618.511280708481,3308.2057440801286,43804691.57286541,0.7888455390930176
StandardScaler(),Decision Tree Regressor,0.7543821692129318,6175.099728867009,3073.486927906716,38131856.6614534,0.035999298095703125
StandardScaler(),MLP Regressor          ,0.8459161608061919,4890.942708540054,3117.1316303542344,23921320.57822112,198.40886092185974
StandardScaler(),Ridge                  ,0.7776602256037163,5875.199395355884,4261.978020380741,34517967.93519015,0.07399725914001465
StandardScaler(),Elastic Net            ,0.7775018139179494,5877.291991083898,4268.118426906779,34542561.148458935,0.033994197845458984
StandardScaler(),Linear Regression      ,0.7776932310583374,5874.763304187489,4260.560091099393,34512843.8802279,0.07800006866455078
StandardScaler(),Lasso                  ,0.7776929759195186,5874.7666753843,4260.552862204247,34512883.49020589,0.03801536560058594
StandardScaler(),Random Forest Regressor,0.8283291469669082,5162.5267231752105,2811.3652917980926,26651682.16749818,0.7218680381774902
MinMaxScaler(),SVR                    ,0.7223099302583695,6565.899106386743,3308.943457248515,43111031.07525024,0.44521069526672363
MinMaxScaler(),Decision Tree Regressor,0.7401487773853033,6351.501608873142,3147.6857282798505,40341572.68751811,0.09566903114318848
MinMaxScaler(),MLP Regressor          ,0.7887412889387122,5726.922987857618,4006.892434178033,32797646.908852022,230.85785818099976
MinMaxScaler(),Ridge                  ,0.7775184133785337,5877.072749529291,4251.318503275894,34539984.10325978,0.03899645805358887
MinMaxScaler(),Elastic Net            ,0.7755562932587372,5902.931539742998,4241.809884235204,34844600.76289265,0.0335230827331543
MinMaxScaler(),Linear Regression      ,0.7776932310583375,5874.763304187488,4260.560091099389,34512843.880227886,0.040524959564208984
MinMaxScaler(),Lasso                  ,0.7776931441603554,5874.764452386953,4260.422832713456,34512857.37102938,0.03353404998779297
MinMaxScaler(),Random Forest Regressor,0.8282358054303307,5163.930026893018,2826.2204120999163,26666173.322647333,0.6616437435150146
SemScaler,SVR                    ,0.7222910412512352,6566.122415067129,3309.513549349268,43113963.569646984,4.956688404083252
SemScaler,Decision Tree Regressor,0.7452209655112221,6289.206779481939,3144.9469308171642,39554121.91508158,0.0607914924621582
SemScaler,MLP Regressor          ,0.7753523755484463,5905.612477020824,4132.986947242152,34876258.72874404,214.20272493362427
SemScaler,Ridge                  ,0.7774645454198674,5877.784194363618,4271.802302254549,34548347.03551076,0.04917097091674805
SemScaler,Elastic Net            ,0.7760779221396392,5896.068057682438,4321.053633505265,34763618.540823154,0.046175241470336914
SemScaler,Linear Regression      ,0.7776932310583375,5874.763304187488,4260.560091099391,34512843.88022789,0.06754517555236816
SemScaler,Lasso                  ,0.7776923016688859,5874.775584374378,4260.605713668009,34512988.16676132,0.05000925064086914
SemScaler,Random Forest Regressor,0.8285759724589552,5158.814090753614,2820.420456721807,26613362.822958037,0.7976264953613281
