dia,id_operador,id_ordem,habilidades_ordem,habilidades_operador,nivel_operador,horas_estimadas,horas_disponiveis,prioridade,inicio_esperado,atraso,compatibilidade_habilidade,habilidades_nao_atendidas,compatibilidade_nivel_prioridade,hora_extra,total_hora_extra,status
1,op1,ordem29,alvenaria | elétrica,solda | elétrica | hidráulica,júnior,7,7,urgente,1,0,50.0,alvenaria,NOK,Não,0,não_atendida
1,op2,ordem50,alvenaria | solda,solda | elétrica | hidráulica,sênior,7,8,urgente,1,0,50.0,alvenaria,OK,Não,0,não_atendida
1,op3,ordem14,pintura | alvenaria,elétrica | alvenaria,júnior,4,9,urgente,2,-1,50.0,pintura,NOK,Não,0,não_atendida
1,op3,ordem43,alvenaria,elétrica | alvenaria,júnior,2,9,urgente,2,-1,100.0,,NOK,Não,0,não_atendida
1,op3,ordem68,elétrica,elétrica | alvenaria,júnior,3,9,urgente,2,-1,100.0,,NOK,Não,0,não_atendida
1,op4,ordem24,pintura,pintura | elétrica,sênior,2,7,urgente,1,0,100.0,,OK,Não,0,não_atendida
1,op4,ordem99,pintura,pintura | elétrica,sênior,4,7,urgente,1,0,100.0,,OK,Não,0,não_atendida
1,op5,ordem55,solda,hidráulica | solda,sênior,5,7,urgente,1,0,100.0,,OK,Não,0,não_atendida
1,op5,ordem42,hidráulica | pintura,hidráulica | solda,sênior,2,7,alta,2,-1,50.0,pintura,OK,Não,0,não_atendida
1,op6,ordem77,solda | hidráulica,hidráulica | solda,júnior,4,7,urgente,1,0,100.0,,NOK,Não,0,não_atendida
1,op6,ordem51,solda,hidráulica | solda,júnior,3,7,urgente,5,-4,100.0,,NOK,Não,0,não_atendida
1,op7,ordem30,pintura | solda,solda | elétrica | hidráulica,pleno,5,7,urgente,2,-1,50.0,pintura,NOK,Não,0,não_atendida
1,op7,ordem5,elétrica | alvenaria,solda | elétrica | hidráulica,pleno,2,7,alta,3,-2,50.0,alvenaria,NOK,Não,0,não_atendida
1,op8,ordem57,elétrica | solda,solda | alvenaria,pleno,8,9,urgente,2,-1,50.0,elétrica,NOK,Não,0,não_atendida
1,op9,ordem64,pintura,alvenaria | elétrica | pintura,especialista,2,8,urgente,2,-1,100.0,,OK,Não,0,não_atendida
