dia,id_operador,id_ordem,habilidades_ordem,habilidades_operador,nivel_operador,horas_estimadas,horas_disponiveis,prioridade,inicio_esperado,atraso,compatibilidade_habilidade,habilidades_nao_atendidas,compatibilidade_nivel_prioridade,hora_extra,total_hora_extra,status
1,op1,ordem5,alvenaria | pintura,alvenaria | pintura | hidráulica,pleno,3,7,urgente,3,-2,100.0,,NOK,Não,0,não_atendida
1,op1,ordem12,hidráulica,alvenaria | pintura | hidráulica,pleno,4,7,urgente,5,-4,100.0,,NOK,Não,0,não_atendida
1,op2,ordem13,pintura | alvenaria,elétrica | alvenaria | pintura,pleno,7,8,urgente,5,-4,100.0,,NOK,Não,0,não_atendida
1,op3,ordem31,alvenaria | hidráulica,elétrica | hidráulica,júnior,6,7,urgente,2,-1,50.0,alvenaria,NOK,Não,0,não_atendida
1,op4,ordem41,elétrica | solda,elétrica | solda,júnior,5,7,urgente,1,0,100.0,,NOK,Não,0,não_atendida
1,op4,ordem42,pintura | solda,elétrica | solda,júnior,2,7,urgente,4,-3,50.0,pintura,NOK,Não,0,não_atendida
1,op5,ordem19,alvenaria | pintura,alvenaria | elétrica,pleno,2,8,urgente,3,-2,50.0,pintura,NOK,Não,0,não_atendida
1,op5,ordem33,alvenaria,alvenaria | elétrica,pleno,6,8,urgente,5,-4,100.0,,NOK,Não,0,não_atendida
1,op6,ordem47,hidráulica,elétrica | hidráulica,júnior,2,9,urgente,2,-1,100.0,,NOK,Não,0,não_atendida
1,op6,ordem55,alvenaria | elétrica,elétrica | hidráulica,júnior,5,9,urgente,5,-4,50.0,alvenaria,NOK,Não,0,não_atendida
1,op6,ordem60,elétrica | alvenaria,elétrica | hidráulica,júnior,2,9,urgente,5,-4,50.0,alvenaria,NOK,Não,0,não_atendida
1,op7,ordem53,solda,elétrica | solda | pintura,pleno,6,7,urgente,4,-3,100.0,,NOK,Não,0,não_atendida
1,op8,ordem66,hidráulica | elétrica,hidráulica | pintura | alvenaria,pleno,6,7,urgente,4,-3,50.0,elétrica,NOK,Não,0,não_atendida
1,op9,ordem74,solda | pintura,solda | elétrica,sênior,3,7,urgente,1,0,50.0,pintura,OK,Não,0,não_atendida
1,op9,ordem89,alvenaria | elétrica,solda | elétrica,sênior,4,7,urgente,1,0,50.0,alvenaria,OK,Não,0,não_atendida
1,op10,ordem67,alvenaria,hidráulica | elétrica | alvenaria,júnior,3,7,urgente,4,-3,100.0,,NOK,Não,0,não_atendida
1,op10,ordem91,solda | alvenaria,hidráulica | elétrica | alvenaria,júnior,3,7,urgente,3,-2,50.0,solda,NOK,Não,0,não_atendida
