dia,id_operador,id_ordem,habilidades_ordem,habilidades_operador,nivel_operador,horas_estimadas,horas_disponiveis,prioridade,inicio_esperado,atraso,compatibilidade_habilidade,habilidades_nao_atendidas,compatibilidade_nivel_prioridade,hora_extra,total_hora_extra,status
1,op2,ordem94,solda | hidráulica,hidráulica | solda,especialista,2,9,alta,2,-1,100.0,,OK,Não,0,não_atendida
1,op3,ordem63,hidráulica | solda,elétrica | solda,sênior,6,9,baixa,5,-4,50.0,hidráulica,OK,Não,0,não_atendida
1,op3,ordem78,elétrica,elétrica | solda,sênior,5,9,alta,1,0,100.0,,OK,Sim,2,não_atendida
1,op4,ordem70,pintura,solda | pintura | alvenaria,pleno,4,9,alta,4,-3,100.0,,NOK,Não,0,não_atendida
1,op5,ordem25,pintura | solda,solda | elétrica,especialista,7,9,baixa,1,0,50.0,pintura,OK,Não,0,não_atendida
1,op5,ordem73,alvenaria | solda,solda | elétrica,especialista,7,9,alta,5,-4,50.0,alvenaria,OK,Sim,5,não_atendida
1,op7,ordem58,hidráulica,alvenaria | elétrica | hidráulica,sênior,3,9,baixa,5,-4,100.0,,OK,Não,0,não_atendida
1,op7,ordem82,hidráulica | elétrica,alvenaria | elétrica | hidráulica,sênior,7,9,urgente,3,-2,100.0,,OK,Sim,1,não_atendida
1,op8,ordem56,pintura | alvenaria,pintura | hidráulica,sênior,8,8,média,5,-4,50.0,alvenaria,OK,Não,0,não_atendida
1,op9,ordem12,hidráulica,elétrica | solda | hidráulica,sênior,2,9,alta,5,-4,100.0,,OK,Não,0,não_atendida
1,op9,ordem66,hidráulica | pintura,elétrica | solda | hidráulica,sênior,6,9,baixa,3,-2,50.0,pintura,OK,Não,0,não_atendida
1,op10,ordem43,elétrica,elétrica | pintura | alvenaria,júnior,6,7,média,2,-1,100.0,,NOK,Não,0,não_atendida
2,op1,ordem55,solda,pintura | alvenaria | solda,especialista,7,7,baixa,4,-2,100.0,,OK,Não,0,não_atendida
2,op1,ordem98,alvenaria,pintura | alvenaria | solda,especialista,2,7,média,3,-1,100.0,,OK,Sim,2,não_atendida
2,op3,ordem14,solda,elétrica | solda,sênior,4,9,baixa,5,-3,100.0,,OK,Não,0,não_atendida
2,op3,ordem26,solda,elétrica | solda,sênior,5,9,urgente,3,-1,100.0,,OK,Não,0,não_atendida
2,op3,ordem85,solda,elétrica | solda,sênior,3,9,baixa,4,-2,100.0,,OK,Sim,3,não_atendida
2,op4,ordem79,hidráulica | pintura,solda | pintura | alvenaria,pleno,6,9,média,2,0,50.0,hidráulica,OK,Não,0,não_atendida
2,op6,ordem3,pintura | hidráulica,elétrica | hidráulica,especialista,5,8,alta,4,-2,50.0,pintura,OK,Não,0,não_atendida
2,op6,ordem20,hidráulica,elétrica | hidráulica,especialista,7,8,média,1,1,100.0,,OK,Sim,4,não_atendida
2,op6,ordem22,elétrica | alvenaria,elétrica | hidráulica,especialista,6,8,alta,3,-1,50.0,alvenaria,OK,Sim,10,não_atendida
2,op6,ordem23,solda | elétrica,elétrica | hidráulica,especialista,4,8,média,2,0,50.0,solda,OK,Sim,14,não_atendida
2,op6,ordem42,hidráulica,elétrica | hidráulica,especialista,3,8,alta,4,-2,100.0,,OK,Sim,17,não_atendida
2,op6,ordem59,hidráulica | pintura,elétrica | hidráulica,especialista,3,8,urgente,2,0,50.0,pintura,OK,Sim,20,não_atendida
2,op6,ordem72,hidráulica,elétrica | hidráulica,especialista,7,8,baixa,5,-3,100.0,,OK,Sim,27,não_atendida
2,op6,ordem77,alvenaria | elétrica,elétrica | hidráulica,especialista,4,8,alta,4,-2,50.0,alvenaria,OK,Sim,31,não_atendida
2,op6,ordem86,alvenaria | hidráulica,elétrica | hidráulica,especialista,4,8,urgente,5,-3,50.0,alvenaria,OK,Sim,35,não_atendida
2,op6,ordem88,hidráulica | pintura,elétrica | hidráulica,especialista,2,8,alta,4,-2,50.0,pintura,OK,Sim,37,não_atendida
2,op6,ordem100,hidráulica,elétrica | hidráulica,especialista,7,8,baixa,4,-2,100.0,,OK,Sim,44,não_atendida
