dia,id_operador,id_ordem,habilidades_ordem,habilidades_operador,nivel_operador,horas_estimadas,horas_disponiveis,prioridade,inicio_esperado,atraso,compatibilidade_habilidade,habilidades_nao_atendidas,compatibilidade_nivel_prioridade,hora_extra,total_hora_extra,status
1,op1,ordem6,pintura | alvenaria,alvenaria | solda | pintura,sênior,6,8,urgente,1,0,100.0,,OK,Não,0,não_atendida
1,op1,ordem2,alvenaria,alvenaria | solda | pintura,sênior,2,8,urgente,2,-1,100.0,,OK,Não,0,não_atendida
1,op2,ordem41,elétrica | hidráulica,elétrica | pintura,júnior,2,7,urgente,1,0,50.0,hidráulica,NOK,Não,0,não_atendida
1,op2,ordem90,pintura | solda,elétrica | pintura,júnior,5,7,urgente,1,0,50.0,solda,NOK,Não,0,não_atendida
1,op3,ordem71,alvenaria | hidráulica,pintura | alvenaria | elétrica,júnior,5,9,urgente,1,0,50.0,hidráulica,NOK,Não,0,não_atendida
1,op3,ordem63,pintura | alvenaria,pintura | alvenaria | elétrica,júnior,4,9,urgente,2,-1,100.0,,NOK,Não,0,não_atendida
1,op4,ordem45,alvenaria | elétrica,elétrica | pintura | solda,júnior,6,7,urgente,2,-1,50.0,alvenaria,NOK,Não,0,não_atendida
1,op5,ordem16,alvenaria | elétrica,elétrica | alvenaria | hidráulica,especialista,5,9,urgente,3,-2,100.0,,OK,Não,0,não_atendida
1,op5,ordem97,elétrica,elétrica | alvenaria | hidráulica,especialista,3,9,urgente,4,-3,100.0,,OK,Não,0,não_atendida
1,op6,ordem66,elétrica | solda,hidráulica | elétrica | pintura,sênior,5,7,urgente,3,-2,50.0,solda,OK,Não,0,não_atendida
1,op6,ordem38,alvenaria | elétrica,hidráulica | elétrica | pintura,sênior,2,7,média,4,-3,50.0,alvenaria,OK,Não,0,não_atendida
1,op7,ordem76,elétrica | hidráulica,hidráulica | pintura,pleno,7,9,urgente,3,-2,50.0,elétrica,NOK,Não,0,não_atendida
1,op7,ordem50,hidráulica,hidráulica | pintura,pleno,2,9,média,5,-4,100.0,,OK,Não,0,não_atendida
1,op8,ordem70,solda | pintura,elétrica | alvenaria | solda,especialista,4,7,urgente,5,-4,50.0,pintura,OK,Não,0,não_atendida
1,op8,ordem68,solda,elétrica | alvenaria | solda,especialista,3,7,alta,2,-1,100.0,,OK,Não,0,não_atendida
1,op9,ordem34,solda,solda | alvenaria | pintura,especialista,8,8,urgente,2,-1,100.0,,OK,Não,0,não_atendida
1,op10,ordem85,alvenaria,elétrica | alvenaria | solda,júnior,6,7,urgente,5,-4,100.0,,NOK,Não,0,não_atendida
2,op1,ordem92,pintura,alvenaria | solda | pintura,sênior,7,8,urgente,3,-1,100.0,,OK,Não,0,não_atendida
2,op2,ordem25,hidráulica | pintura,elétrica | pintura,júnior,6,7,urgente,4,-2,50.0,hidráulica,NOK,Não,0,não_atendida
2,op3,ordem8,alvenaria,pintura | alvenaria | elétrica,júnior,8,9,urgente,4,-2,100.0,,NOK,Não,0,não_atendida
2,op4,ordem13,pintura | hidráulica,elétrica | pintura | solda,júnior,3,7,alta,1,1,50.0,hidráulica,NOK,Não,0,não_atendida
2,op4,ordem11,pintura,elétrica | pintura | solda,júnior,4,7,alta,2,0,100.0,,NOK,Não,0,não_atendida
2,op5,ordem27,alvenaria,elétrica | alvenaria | hidráulica,especialista,8,9,urgente,4,-2,100.0,,OK,Não,0,não_atendida
2,op6,ordem18,alvenaria | hidráulica,hidráulica | elétrica | pintura,sênior,5,7,alta,1,1,50.0,alvenaria,OK,Não,0,não_atendida
2,op6,ordem40,solda | elétrica,hidráulica | elétrica | pintura,sênior,2,7,baixa,1,1,50.0,solda,OK,Não,0,não_atendida
2,op7,ordem22,hidráulica | elétrica,hidráulica | pintura,pleno,8,9,alta,1,1,50.0,elétrica,NOK,Não,0,não_atendida
2,op8,ordem17,elétrica,elétrica | alvenaria | solda,especialista,4,7,alta,2,0,100.0,,OK,Não,0,não_atendida
2,op8,ordem91,alvenaria | hidráulica,elétrica | alvenaria | solda,especialista,3,7,alta,2,0,50.0,hidráulica,OK,Não,0,não_atendida
2,op9,ordem44,alvenaria,solda | alvenaria | pintura,especialista,6,8,alta,2,0,100.0,,OK,Não,0,não_atendida
2,op9,ordem29,alvenaria,solda | alvenaria | pintura,especialista,2,8,média,1,1,100.0,,OK,Não,0,não_atendida
2,op10,ordem46,elétrica,elétrica | alvenaria | solda,júnior,6,7,alta,2,0,100.0,,NOK,Não,0,não_atendida
3,op1,ordem86,solda,alvenaria | solda | pintura,sênior,7,8,alta,2,1,100.0,,OK,Não,0,não_atendida
3,op2,ordem81,pintura,elétrica | pintura,júnior,3,7,alta,3,0,100.0,,NOK,Não,0,não_atendida
3,op2,ordem51,elétrica | pintura,elétrica | pintura,júnior,3,7,alta,5,-2,100.0,,NOK,Não,0,não_atendida
3,op3,ordem30,elétrica | hidráulica,pintura | alvenaria | elétrica,júnior,8,9,alta,3,0,50.0,hidráulica,NOK,Não,0,não_atendida
3,op4,ordem59,solda,elétrica | pintura | solda,júnior,5,7,alta,3,0,100.0,,NOK,Não,0,não_atendida
3,op4,ordem78,solda,elétrica | pintura | solda,júnior,2,7,média,2,1,100.0,,NOK,Não,0,não_atendida
3,op5,ordem39,hidráulica,elétrica | alvenaria | hidráulica,especialista,8,9,alta,1,2,100.0,,OK,Não,0,não_atendida
3,op6,ordem61,hidráulica,hidráulica | elétrica | pintura,sênior,7,7,alta,1,2,100.0,,OK,Não,0,não_atendida
3,op7,ordem73,hidráulica,hidráulica | pintura,pleno,7,9,alta,1,2,100.0,,NOK,Não,0,não_atendida
3,op7,ordem49,pintura,hidráulica | pintura,pleno,2,9,baixa,1,2,100.0,,OK,Não,0,não_atendida
3,op8,ordem1,alvenaria | solda,elétrica | alvenaria | solda,especialista,6,7,alta,4,-1,100.0,,OK,Não,0,não_atendida
3,op9,ordem99,alvenaria | pintura,solda | alvenaria | pintura,especialista,8,8,alta,3,0,100.0,,OK,Não,0,não_atendida
3,op10,ordem19,elétrica,elétrica | alvenaria | solda,júnior,3,7,média,1,2,100.0,,NOK,Não,0,não_atendida
3,op10,ordem74,hidráulica | alvenaria,elétrica | alvenaria | solda,júnior,3,7,média,3,0,50.0,hidráulica,NOK,Não,0,não_atendida
4,op1,ordem72,elétrica | solda,alvenaria | solda | pintura,sênior,8,8,alta,4,0,50.0,elétrica,OK,Não,0,não_atendida
4,op2,ordem21,solda | elétrica,elétrica | pintura,júnior,5,7,média,1,3,50.0,solda,NOK,Não,0,não_atendida
4,op2,ordem57,solda | elétrica,elétrica | pintura,júnior,2,7,baixa,3,1,50.0,solda,OK,Não,0,não_atendida
4,op3,ordem43,elétrica,pintura | alvenaria | elétrica,júnior,8,9,alta,3,1,100.0,,NOK,Não,0,não_atendida
4,op4,ordem47,solda | alvenaria,elétrica | pintura | solda,júnior,6,7,média,1,3,50.0,alvenaria,NOK,Não,0,não_atendida
4,op5,ordem54,elétrica,elétrica | alvenaria | hidráulica,especialista,8,9,alta,3,1,100.0,,OK,Não,0,não_atendida
4,op6,ordem52,pintura | solda,hidráulica | elétrica | pintura,sênior,5,7,média,1,3,50.0,solda,OK,Não,0,não_atendida
4,op7,ordem93,alvenaria | pintura,hidráulica | pintura,pleno,8,9,alta,4,0,50.0,alvenaria,NOK,Não,0,não_atendida
4,op8,ordem75,solda,elétrica | alvenaria | solda,especialista,6,7,média,1,3,100.0,,OK,Não,0,não_atendida
4,op9,ordem60,pintura | hidráulica,solda | alvenaria | pintura,especialista,4,8,média,1,3,50.0,hidráulica,OK,Não,0,não_atendida
4,op9,ordem12,hidráulica | pintura,solda | alvenaria | pintura,especialista,4,8,média,4,0,50.0,hidráulica,OK,Não,0,não_atendida
4,op10,ordem87,alvenaria,elétrica | alvenaria | solda,júnior,6,7,média,1,3,100.0,,NOK,Não,0,não_atendida
5,op1,ordem89,pintura | solda,alvenaria | solda | pintura,sênior,8,8,média,1,4,100.0,,OK,Não,0,não_atendida
5,op2,ordem33,elétrica,elétrica | pintura,júnior,6,7,média,3,2,100.0,,NOK,Não,0,não_atendida
5,op3,ordem26,elétrica | hidráulica,pintura | alvenaria | elétrica,júnior,8,9,média,2,3,50.0,hidráulica,NOK,Não,0,não_atendida
5,op4,ordem65,elétrica | solda,elétrica | pintura | solda,júnior,6,7,média,3,2,100.0,,NOK,Não,0,não_atendida
5,op5,ordem55,solda | elétrica,elétrica | alvenaria | hidráulica,especialista,8,9,média,2,3,50.0,solda,OK,Não,0,não_atendida
5,op6,ordem83,elétrica | hidráulica,hidráulica | elétrica | pintura,sênior,3,7,média,3,2,100.0,,OK,Não,0,não_atendida
5,op6,ordem67,hidráulica,hidráulica | elétrica | pintura,sênior,4,7,média,4,1,100.0,,OK,Não,0,não_atendida
5,op7,ordem24,hidráulica | solda,hidráulica | pintura,pleno,5,9,média,4,1,50.0,solda,OK,Não,0,não_atendida
5,op7,ordem82,hidráulica,hidráulica | pintura,pleno,3,9,média,4,1,100.0,,OK,Não,0,não_atendida
5,op8,ordem36,hidráulica | elétrica,elétrica | alvenaria | solda,especialista,5,7,média,5,0,50.0,hidráulica,OK,Não,0,não_atendida
5,op8,ordem48,alvenaria,elétrica | alvenaria | solda,especialista,2,7,média,5,0,100.0,,OK,Não,0,não_atendida
5,op9,ordem64,alvenaria,solda | alvenaria | pintura,especialista,8,8,média,2,3,100.0,,OK,Não,0,não_atendida
5,op10,ordem69,alvenaria,elétrica | alvenaria | solda,júnior,6,7,média,5,0,100.0,,NOK,Não,0,não_atendida
