dia,id_operador,id_ordem,habilidades_ordem,habilidades_operador,nivel_operador,horas_estimadas,horas_disponiveis,prioridade,inicio_esperado,atraso,compatibilidade_habilidade,habilidades_nao_atendidas,compatibilidade_nivel_prioridade,hora_extra,total_hora_extra,status
1,op1,ordem1,hidráulica,alvenaria | pintura | hidráulica,pleno,4,9,urgente,3,-2,100.0,,NOK,Não,0,não_atendida
1,op1,ordem19,hidráulica | alvenaria,alvenaria | pintura | hidráulica,pleno,3,9,urgente,2,-1,100.0,,NOK,Não,0,não_atendida
1,op1,ordem21,alvenaria,alvenaria | pintura | hidráulica,pleno,2,9,urgente,3,-2,100.0,,NOK,Não,0,não_atendida
1,op2,ordem3,pintura | hidráulica,solda | pintura | elétrica,júnior,6,8,urgente,2,-1,50.0,hidráulica,NOK,Não,0,não_atendida
1,op2,ordem61,elétrica | pintura,solda | pintura | elétrica,júnior,2,8,urgente,5,-4,100.0,,NOK,Não,0,não_atendida
1,op3,ordem4,hidráulica,hidráulica | solda,sênior,6,7,urgente,2,-1,100.0,,OK,Não,0,não_atendida
1,op4,ordem28,alvenaria,pintura | alvenaria | hidráulica,pleno,6,7,urgente,4,-3,100.0,,NOK,Não,0,não_atendida
1,op5,ordem22,elétrica,alvenaria | pintura | elétrica,especialista,8,9,urgente,4,-3,100.0,,OK,Não,0,não_atendida
1,op6,ordem30,hidráulica | alvenaria,hidráulica | alvenaria | pintura,pleno,2,9,urgente,3,-2,100.0,,NOK,Não,0,não_atendida
1,op6,ordem38,alvenaria,hidráulica | alvenaria | pintura,pleno,5,9,urgente,3,-2,100.0,,NOK,Não,0,não_atendida
1,op6,ordem50,alvenaria,hidráulica | alvenaria | pintura,pleno,2,9,urgente,5,-4,100.0,,NOK,Não,0,não_atendida
1,op7,ordem45,alvenaria | solda,alvenaria | solda,pleno,6,9,urgente,4,-3,100.0,,NOK,Não,0,não_atendida
1,op7,ordem74,alvenaria,alvenaria | solda,pleno,2,9,urgente,1,0,100.0,,NOK,Não,0,não_atendida
1,op8,ordem57,pintura | elétrica,solda | elétrica | pintura,sênior,8,9,urgente,5,-4,100.0,,OK,Não,0,não_atendida
1,op9,ordem54,alvenaria,alvenaria | elétrica | solda,sênior,4,8,urgente,1,0,100.0,,OK,Não,0,não_atendida
1,op9,ordem73,elétrica | hidráulica,alvenaria | elétrica | solda,sênior,4,8,urgente,5,-4,50.0,hidráulica,OK,Não,0,não_atendida
1,op10,ordem48,hidráulica,pintura | hidráulica | solda,sênior,5,9,urgente,3,-2,100.0,,OK,Não,0,não_atendida
1,op10,ordem12,solda | elétrica,pintura | hidráulica | solda,sênior,4,9,alta,5,-4,50.0,elétrica,OK,Não,0,não_atendida
2,op1,ordem66,elétrica | pintura,alvenaria | pintura | hidráulica,pleno,6,9,urgente,5,-3,50.0,elétrica,NOK,Não,0,não_atendida
2,op1,ordem17,alvenaria,alvenaria | pintura | hidráulica,pleno,2,9,alta,3,-1,100.0,,NOK,Não,0,não_atendida
2,op2,ordem60,elétrica,solda | pintura | elétrica,júnior,5,8,urgente,5,-3,100.0,,NOK,Não,0,não_atendida
2,op2,ordem36,solda | pintura,solda | pintura | elétrica,júnior,3,8,alta,4,-2,100.0,,NOK,Não,0,não_atendida
2,op3,ordem75,solda | elétrica,hidráulica | solda,sênior,7,7,urgente,2,0,50.0,elétrica,OK,Não,0,não_atendida
2,op4,ordem88,pintura | elétrica,pintura | alvenaria | hidráulica,pleno,7,7,urgente,4,-2,50.0,elétrica,NOK,Não,0,não_atendida
2,op5,ordem76,elétrica,alvenaria | pintura | elétrica,especialista,7,9,urgente,4,-2,100.0,,OK,Não,0,não_atendida
2,op5,ordem55,alvenaria | hidráulica,alvenaria | pintura | elétrica,especialista,2,9,alta,3,-1,50.0,hidráulica,OK,Não,0,não_atendida
2,op6,ordem80,pintura,hidráulica | alvenaria | pintura,pleno,8,9,urgente,4,-2,100.0,,NOK,Não,0,não_atendida
2,op7,ordem81,solda | elétrica,alvenaria | solda,pleno,6,9,urgente,5,-3,50.0,elétrica,NOK,Não,0,não_atendida
2,op7,ordem68,hidráulica | solda,alvenaria | solda,pleno,2,9,alta,2,0,50.0,hidráulica,NOK,Não,0,não_atendida
2,op8,ordem83,solda | elétrica,solda | elétrica | pintura,sênior,5,9,urgente,5,-3,100.0,,OK,Não,0,não_atendida
2,op8,ordem99,elétrica,solda | elétrica | pintura,sênior,4,9,urgente,1,1,100.0,,OK,Não,0,não_atendida
2,op9,ordem89,alvenaria | pintura,alvenaria | elétrica | solda,sênior,8,8,urgente,5,-3,50.0,pintura,OK,Não,0,não_atendida
2,op10,ordem96,hidráulica | alvenaria,pintura | hidráulica | solda,sênior,8,9,urgente,3,-1,50.0,alvenaria,OK,Não,0,não_atendida
3,op1,ordem100,pintura | elétrica,alvenaria | pintura | hidráulica,pleno,8,9,urgente,3,0,50.0,elétrica,NOK,Não,0,não_atendida
3,op2,ordem7,alvenaria | pintura,solda | pintura | elétrica,júnior,6,8,alta,2,1,50.0,alvenaria,NOK,Não,0,não_atendida
3,op2,ordem97,alvenaria | solda,solda | pintura | elétrica,júnior,2,8,alta,4,-1,50.0,alvenaria,NOK,Não,0,não_atendida
3,op3,ordem8,hidráulica | elétrica,hidráulica | solda,sênior,6,7,alta,1,2,50.0,elétrica,OK,Não,0,não_atendida
3,op4,ordem9,elétrica | hidráulica,pintura | alvenaria | hidráulica,pleno,7,7,alta,2,1,50.0,elétrica,NOK,Não,0,não_atendida
3,op5,ordem11,solda | pintura,alvenaria | pintura | elétrica,especialista,8,9,alta,2,1,50.0,solda,OK,Não,0,não_atendida
3,op6,ordem15,alvenaria | pintura,hidráulica | alvenaria | pintura,pleno,8,9,alta,2,1,100.0,,NOK,Não,0,não_atendida
3,op7,ordem26,solda,alvenaria | solda,pleno,6,9,alta,1,2,100.0,,NOK,Não,0,não_atendida
3,op7,ordem69,solda,alvenaria | solda,pleno,3,9,alta,5,-2,100.0,,NOK,Não,0,não_atendida
3,op8,ordem29,alvenaria | pintura,solda | elétrica | pintura,sênior,5,9,alta,1,2,50.0,alvenaria,OK,Não,0,não_atendida
3,op8,ordem70,pintura | alvenaria,solda | elétrica | pintura,sênior,3,9,alta,5,-2,50.0,alvenaria,OK,Não,0,não_atendida
3,op9,ordem44,alvenaria | solda,alvenaria | elétrica | solda,sênior,5,8,alta,3,0,100.0,,OK,Não,0,não_atendida
3,op9,ordem78,alvenaria,alvenaria | elétrica | solda,sênior,2,8,alta,1,2,100.0,,OK,Não,0,não_atendida
3,op10,ordem41,pintura | hidráulica,pintura | hidráulica | solda,sênior,8,9,alta,4,-1,100.0,,OK,Não,0,não_atendida
4,op1,ordem47,solda | pintura,alvenaria | pintura | hidráulica,pleno,7,9,alta,4,0,50.0,solda,NOK,Não,0,não_atendida
4,op1,ordem42,alvenaria,alvenaria | pintura | hidráulica,pleno,2,9,média,2,2,100.0,,OK,Não,0,não_atendida
4,op2,ordem52,elétrica | solda,solda | pintura | elétrica,júnior,6,8,alta,1,3,100.0,,NOK,Não,0,não_atendida
