order_id,required_skills,estimated_hours,priority,expected_start_day
ordem1,hidráulica,4,urgente,3
ordem2,elétrica | pintura,7,baixa,1
ordem3,pintura | hidráulica,6,urgente,2
ordem4,hidráulica,6,urgente,2
ordem5,hidráulica,7,baixa,3
ordem6,solda | elétrica,8,baixa,3
ordem7,alvenaria | pintura,6,alta,2
ordem8,hidráulica | elétrica,6,alta,1
ordem9,elétrica | hidráulica,7,alta,2
ordem10,solda,8,baixa,5
ordem11,solda | pintura,8,alta,2
ordem12,solda | elétrica,4,alta,5
ordem13,hidráulica,5,média,2
ordem14,alvenaria,8,baixa,4
ordem15,alvenaria | pintura,8,alta,2
ordem16,hidráulica,7,baixa,3
ordem17,alvenaria,2,alta,3
ordem18,alvenaria,7,baixa,2
ordem19,hidráulica | alvenaria,3,urgente,2
ordem20,solda,3,baixa,1
ordem21,alvenaria,2,urgente,3
ordem22,elétrica,8,urgente,4
ordem23,pintura | solda,8,média,2
ordem24,solda,6,baixa,2
ordem25,hidráulica | solda,5,baixa,1
ordem26,solda,6,alta,1
ordem27,solda | pintura,4,média,4
ordem28,alvenaria,6,urgente,4
ordem29,alvenaria | pintura,5,alta,1
ordem30,hidráulica | alvenaria,2,urgente,3
ordem31,alvenaria,2,baixa,4
ordem32,alvenaria | pintura,8,média,3
ordem33,solda,4,média,5
ordem34,alvenaria | pintura,7,baixa,5
ordem35,pintura,8,média,1
ordem36,solda | pintura,3,alta,4
ordem37,elétrica | pintura,2,baixa,3
ordem38,alvenaria,5,urgente,3
ordem39,elétrica | hidráulica,8,baixa,4
ordem40,alvenaria | solda,3,média,5
ordem41,pintura | hidráulica,8,alta,4
ordem42,alvenaria,2,média,2
ordem43,solda,7,média,1
ordem44,alvenaria | solda,5,alta,3
ordem45,alvenaria | solda,6,urgente,4
ordem46,alvenaria,5,baixa,4
ordem47,solda | pintura,7,alta,4
ordem48,hidráulica,5,urgente,3
ordem49,solda | pintura,6,baixa,2
ordem50,alvenaria,2,urgente,5
ordem51,hidráulica,8,média,1
ordem52,elétrica | solda,6,alta,1
ordem53,elétrica,7,baixa,5
ordem54,alvenaria,4,urgente,1
ordem55,alvenaria | hidráulica,2,alta,3
ordem56,alvenaria,8,média,4
ordem57,pintura | elétrica,8,urgente,5
ordem58,elétrica,8,baixa,4
ordem59,hidráulica,6,média,5
ordem60,elétrica,5,urgente,5
ordem61,elétrica | pintura,2,urgente,5
ordem62,solda,3,média,4
ordem63,alvenaria,8,alta,2
ordem64,pintura | alvenaria,3,baixa,2
ordem65,pintura | elétrica,8,alta,5
ordem66,elétrica | pintura,6,urgente,5
ordem67,hidráulica | elétrica,7,média,2
ordem68,hidráulica | solda,2,alta,2
ordem69,solda,3,alta,5
ordem70,pintura | alvenaria,3,alta,5
ordem71,solda,4,baixa,4
ordem72,pintura | solda,7,média,5
ordem73,elétrica | hidráulica,4,urgente,5
ordem74,alvenaria,2,urgente,1
ordem75,solda | elétrica,7,urgente,2
ordem76,elétrica,7,urgente,4
ordem77,alvenaria | pintura,5,média,1
ordem78,alvenaria,2,alta,1
ordem79,hidráulica | solda,3,média,3
ordem80,pintura,8,urgente,4
ordem81,solda | elétrica,6,urgente,5
ordem82,pintura,6,baixa,4
ordem83,solda | elétrica,5,urgente,5
ordem84,alvenaria,6,baixa,3
ordem85,elétrica | hidráulica,5,alta,2
ordem86,pintura | alvenaria,6,média,1
ordem87,elétrica | pintura,5,baixa,1
ordem88,pintura | elétrica,7,urgente,4
ordem89,alvenaria | pintura,8,urgente,5
ordem90,pintura,3,baixa,5
ordem91,hidráulica,6,média,3
ordem92,elétrica,6,baixa,4
ordem93,elétrica | alvenaria,5,alta,2
ordem94,pintura,5,alta,3
ordem95,hidráulica | alvenaria,3,média,5
ordem96,hidráulica | alvenaria,8,urgente,3
ordem97,alvenaria | solda,2,alta,4
ordem98,alvenaria,5,alta,1
ordem99,elétrica,4,urgente,1
ordem100,pintura | elétrica,8,urgente,3
